title,isPartOf,pageCount,publicationYear,docSubType
'Life Chances' Exercise,Teaching Sociology,5,1992,research-article
The 'New Woman' and Traditional Norms in Tanzania,The Journal of Modern African Studies,16,1972,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1982,book-review
Organizational Processes for Collective Bargaining in Agriculture,Journal of Farm Economics,3,1964,research-article
Continuity and Change among East African Pastoralists,Current Anthropology,10,2000,book-review
Trash Talk,Current Anthropology,20,2015,research-article
Home Visiting with Families in Poverty: Introducing the Concept of Culture,The Future of Children,12,1993,research-article
Review Article,American Journal of Sociology,3,2015,book-review
A Social Survey of a Typical American City,Proceedings of the Academy of Political Science in the City of New York,14,1912,research-article
"Economic Models and Having Children: Some Evidence from Kwahu, Ghana",Africa: Journal of the International African Institute,19,1982,research-article
Educational Responses to Poverty,Canadian Journal of Education / Revue canadienne de l'éducation,14,1995,research-article
Back Matter,The Americas,5,1995,misc
What Else Did Indians Have to Do with Their Time? Alternatives to Labor Migration in Prerevolutionary Guatemala,Economic Development and Cultural Change,24,1989,research-article
Classroom Management in Inclusive Settings,Theory Into Practice,7,2003,research-article
The Production of Local Biologies,Current Anthropology,11,2007,brief-report
Review Article,American Journal of Education,4,1980,book-review
1998-1999 Special Interest Group Annual Directory,Educational Researcher,5,1998,misc
The Spatial Separation of Generations in Ndembu Village Structure,Africa: Journal of the International African Institute,17,1955,research-article
Review Article,Feminist Review,4,1998,book-review
Successful Parenting in High-Risk Neighborhoods,The Future of Children,6,1999,research-article
"Progress and Mobility among Ohio Propertyholders, 1810-1825",Social Science History,22,1983,research-article
Review Article,Social Service Review,6,2015,book-review
Review Article,Africa: Journal of the International African Institute,2,1972,book-review
Prohibition in Kansas,The Annals of the American Academy of Political and Social Science,7,1908,research-article
The Environment of Human Relations: Perspective and Problems,Journal of Architectural Education (1947-1974),9,1974,research-article
Understanding Coalition,Stanford Law Review,4,1991,research-article
"Masculinity, Reproduction, and Male Infertility Surgery in the Middle East",Journal of Middle East Women's Studies,20,2007,research-article
Morocco and Its Women's Rights Struggle: A Failure to Live Up to Its Progressive Image,Journal of Middle East Women's Studies,30,2014,research-article
"Pygmies and Villagers, Ritual or Play? On the Place of Contrasting Modes of Metacommunication in Social Systems",Symbolic Interaction,19,1987,research-article
National Social Agencies Rendering Services to the Home and Family. (2) Child Welfare Organizations,The Annals of the American Academy of Political and Social Science,5,1923,research-article
"Past, Present, and Future Roles of Child Protective Services",The Future of Children,16,1998,research-article
Sociological and Statistical Analysis,Law and Contemporary Problems,21,1944,research-article
Community Services,The Annals of the American Academy of Political and Social Science,11,1957,research-article
Notes,The American Economic Review,13,1912,news
China’s New Rural Daughters Coming of Age: Downsizing the Family and Firing Up Cash‐Earning Power in the New Economy,Signs,28,2007,research-article
Review Article,Africa: Journal of the International African Institute,3,1973,book-review
Religious Conversion and Community Development,Journal for the Scientific Study of Religion,9,1979,research-article
Disaster Risk Reduction and Vulnerable Populations in Jamaica: Protecting Children within the Comprehensive Disaster Management Framework,"Children, Youth and Environments",19,2008,research-article
Bureaucracy and Disaster: Mexico City and the Flood of 1629,Journal of Latin American Studies,20,1974,research-article
A Challenge to Assessment <em>for</em> Education: <em>Guest Editorial</em>,The Journal of Negro Education,3,2014,editorial
Contents,Population (French Edition),3,1972,misc
Bourbon Social Engineering: Women and Conditions of Marriage in Eighteenth-Century Venezuela,The Americas,30,1990,research-article
The Right to Health: Assessing How Far the Discourse Has Evolved                     Internationally and Within the United States,Proceedings of the Annual Meeting (American Society of International Law),4,2010,research-article
The Economics of Power in a Classic Maya Polity,Current Anthropology,3,2013,book-review
"The Stone Age Revisited: An Indigenist View of Primitivism, Industrialism and the Labor Process",Wicazo Sa Review,15,1991,research-article
The Demography of the American Indians,The Annals of the American Academy of Political and Social Science,8,1957,research-article
Family Identity: A Framework of Identity Interplay in Consumption Practices,Journal of Consumer Research,21,2008,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1970,book-review
Physical and Mental Health in the City,The Annals of the American Academy of Political and Social Science,12,1964,research-article
Male Involvement and Accommodation During Obstetric Emergencies in Rural Ghana: A Qualitative Analysis,International Perspectives on Sexual and Reproductive Health,9,2016,research-article
Neighborhood‐Based Foster Care: A Critical Examination of Location‐Based Placement Criteria,Social Service Review,15,2006,research-article
Breadwinner Status and Gender Ideologies of Men and Women regarding Family Roles,Sociological Perspectives,15,2000,research-article
Trends in Mental Hygiene,Review of Educational Research,7,1946,research-article
Review Article,Journal of Marriage and Family,3,2000,book-review
“He Will Take the Best of Your Fields”: Royal Feasts and Rural Extraction,Journal of Biblical Literature,18,2017,research-article
Measuring Inequality through the Strength of Inheritance,Current Anthropology,2,2010,discussion
Appraisal of Farm and Home Development,Journal of Farm Economics,8,1957,research-article
Gang Violence in the Postindustrial Era,Crime and Justice,55,1998,research-article
Reviews of Books,The American Historical Review,2,2003,book-review
"The Self-Employed Women's Association (SEWA) in India: Feminist, Gandhian Power in Development",Economic Development and Cultural Change,10,1994,book-review
Educational Broadcasters as Social Scientists,The Quarterly of Film Radio and Television,13,1952,research-article
"Preventive Work with Street-Corner Groups: Hyde Park Youth Project, Chicago",The Annals of the American Academy of Political and Social Science,10,1959,research-article
"Serawoollies, Tillibunkas and Strange Farmers: The Development of Migrant Groundnut Farming along the Gambia River, 1848-95",The Journal of African History,12,1980,research-article
Review Article,The Journal of Modern African Studies,5,1974,book-review
In Search of the Meso Domain: Commentary on the Contributions of Pestello and Voydanoff,Symbolic Interaction,6,1991,research-article
Two Works of Karl Llewellyn. II: II. The Cheyenne Way,The Modern Law Review,18,1968,research-article
The Function of Formal Education in a Political System,The School Review,13,1957,research-article
Legislating Motherhood: The History of Mothers' Aid in Montgomery County,Journal of the Illinois State Historical Society (1998-),26,2013,research-article
Urban Social Differentiation and the Allocation of Resources,The Annals of the American Academy of Political and Social Science,8,1964,research-article
The Evolving Concept of General Method,Theory Into Practice,6,1966,research-article
The Architects of Greece and Rome,Architectural History,14,1963,research-article
Immigrants and Refugees: Or Ethnicity Ain't What It Used to Be,Theory Into Practice,6,1981,research-article
Ethnicity and Development in Africa: A Reappraisal,The American Economic Review,4,2000,research-article
Monumental Architecture: A Thermodynamic Explanation of Symbolic Behaviour,World Archaeology,14,1990,research-article
Summoning the Food Ghosts: Food History as Public History,The Public Historian,17,2012,research-article
Review Article,Teaching Sociology,3,1997,book-review
Caring for the long haul: Long-term care needs and the (moral) failure to acknowledge them,International Journal of Feminist Approaches to Bioethics,23,2013,research-article
"Race, Citizenship, and the ""Science of Chick Sexing"": The Politics of Racial Identity among Japanese Americans",Pacific Historical Review,34,2009,research-article
Editor's Introduction,Peabody Journal of Education,5,1983,misc
The Life Cycle of French-Canadian Urban Families,The Canadian Journal of Economics and Political Science / Revue canadienne d'Economique et de Science politique,15,1947,research-article
Review Article,Social Service Review,4,2010,book-review
Education in Geology--How Advance It?,Science,7,1945,research-article
Review Article,Economic Development and Cultural Change,8,1978,book-review
'We're on the Run': Ideas of Progress among Adolescents in Rural Kenya,Journal of African Cultural Studies,18,1999,research-article
Financial Altruism or Unilateral Resource Exchanges? Toward a Pure Sociology of Welfare,Sociological Theory,18,2003,research-article
"Eugene Woldemar Hilgard, A Biographical Sketch",Science,4,1916,news
Caste and Landlessness in South India,Comparative Studies in Society and History,27,1962,research-article
Tempora et Mores: Family Values and the Possessions of a Post-Apartheid Countryside,Journal of Religion in Africa,23,2001,research-article
"After the Shutdown in Howland, Maine",Southern Economic Journal,8,1941,research-article
Polygyny: An Indicator of Nutritional Stress in African Agricultural Societies?,Africa: Journal of the International African Institute,15,1984,research-article
Law Schools and Law Students,Virginia Law Review,157,1973,research-article
Conference on Agricultural Nature-Study,Science,2,1910,news
Review Article,The Annals of the American Academy of Political and Social Science,2,1975,book-review
Social Institutions: A Reformulation of the Concept,The Pacific Sociological Review,10,1968,research-article
Neoliberal Mystification,Sociological Perspectives,24,2013,research-article
"Farmers, Traders, and Labourers: Dry Season Migration from North-West Nigeria, 1900-33",Africa: Journal of the International African Institute,17,1984,research-article
Language Education Policies and Inequality in Africa: Cross-National Empirical Evidence,Comparative Education Review,19,2015,research-article
Review Article,The William and Mary Quarterly,3,2014,book-review
Surgical Practice and Honorary Control at Bendigo Hospital 1892–98,Health and History,24,2019,research-article
Review Article,Harvard Law Review,5,1964,book-review
Ambiguous Consequences of the Socialisation and Seclusion of Hausa Women,The Journal of Modern African Studies,22,1984,research-article
Review Article,American Journal of Sociology,3,2012,book-review
"Bibliography, Research, and News",American Indian Quarterly,48,1974,misc
Review Article,The Annals of the American Academy of Political and Social Science,2,1958,book-review
Legal Status and Earnings of Agricultural Workers,American Journal of Agricultural Economics,12,1995,research-article
The Social Functions of Voluntary Associations in a Nineteenth-Century American Town,Social Science History,23,1977,research-article
"The ""Isusu"": An Institution for Capital Formation among the Ngwa Igbo; Its Origin and Development to 1951",Africa: Journal of the International African Institute,13,1984,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1961,book-review
Review Article,Winterthur Portfolio,3,1982,book-review
Review Article,The Russian Review,2,1989,book-review
"Welfare Reform, Fertility, and Father Involvement",The Future of Children,20,2002,research-article
Foreword,Journal of Educational Measurement,3,1967,misc
Education and Other Public Services in France,The Annals of the American Academy of Political and Social Science,6,1955,research-article
Lango Agriculture during the Early Colonial Period: Land and Labour in a Cash-Crop Economy,The Journal of African History,25,1978,research-article
"Chocolate Islands: Cocoa, Slavery, and Colonial Africa",Journal of West African History,3,2016,book-review
"Adopting Difference: Thinking through Adoption by Gay Men in Ontario, Canada",Signs,26,2014,research-article
Some Practical Applications of Precision Sampling,Journal of Marketing,5,1949,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1964,book-review
Book Reviews,Social Service Review,20,1999,book-review
Anticipatory Leadership and Resource Management in the Future,Theory Into Practice,5,1981,research-article
Slum Neighborhoods in Latin America,Journal of Inter-American Studies,22,1967,research-article
Book Reviews,Social Service Review,20,1999,book-review
The Work of the Visiting Teacher,The School Review,3,1926,book-review
Feminist issues in domestic and transnational surrogacy: The case of Japan,International Journal of Feminist Approaches to Bioethics,23,2014,research-article
Child Care and Our Youngest Children,The Future of Children,18,2001,research-article
Organisational Change in Secondary Schools: An Action Approach,British Journal of Sociology of Education,16,1982,research-article
"Agency, Structure, and Explanation in Social History: The Case of the Foundling Home on Kephallenia, Greece, during the 1830s",Social Science History,30,1991,research-article
The Teacher's Role In One Midwest Community,Educational Research Bulletin,7,1946,research-article
Guided Participation in Cultural Activity by Toddlers and Caregivers,Monographs of the Society for Research in Child Development,183,1993,research-article
"Public Policy, Children, and Families: The Dedication of the Human Development Laboratory as the Nicholas Hobbs Laboratory of Human Development at George Peabody College of Vanderbilt University",Peabody Journal of Education,5,1983,research-article
Educating for Occupational Competence,The School Review,7,1947,research-article
"Philanthropy, Charities and Social Problems",The Annals of the American Academy of Political and Social Science,15,1901,research-article
Women's Agricultural Production and Political Action in the Cameroon Grassfields,Africa: Journal of the International African Institute,18,1989,research-article
“In Family Way”: Guarding Indigenous Women's Children in Washington Territory,American Indian Quarterly,18,2013,research-article
[The Use of Agricultural Statistics in Schools]: Discussion,Journal of Farm Economics,3,1948,research-article
The Role of Blacks in Establishing Cattle Ranching in Louisiana in the Eighteenth Century,Agricultural History,27,2012,research-article
"'Good Lawyers but Poor Workers': Recruited Angolan Labour in the Copper Mines of Katanga, 1917-1921",The Journal of African History,23,1977,research-article
Relationships between Urbanization Levels and the Industrial Structure of the Labor Force,Economic Development and Cultural Change,13,1976,research-article
Review Article,The Journal of Modern African Studies,3,1971,book-review
"Department of Philanthropy, Charities and Social Problems",The Annals of the American Academy of Political and Social Science,14,1905,research-article
Blocking Her Exclusion: A Contextually Sensitive Model of Intervention for Handling Female Abuse,Social Service Review,15,2000,research-article
Changing Attitudes Toward Marriage and Children in Six Countries,Sociological Perspectives,22,2010,research-article
Hornig on Research Policy: Public Understanding: Essential to Scientific Progress,Science,2,1967,news
Review Article,The Annals of the American Academy of Political and Social Science,2,1989,book-review
Fertility Policy in China: Future Options,Science,6,1987,research-article
Connections and Divergences: Lunatic Asylums in New Zealand and the                     Homelands before 1910,Health and History,26,2012,research-article
Imported or Important Theory? Sociological Interrogations of Disablement and Special Education,British Journal of Sociology of Education,13,1997,research-article
"Civil Rights and Education in Richmond, Virginia: A Documentary Theater Project",Transformations: The Journal of Inclusive Scholarship and Pedagogy,22,2012,research-article
Review Article,Africa: Journal of the International African Institute,2,1995,book-review
Social Care: Family and Community Support Systems,The Annals of the American Academy of Political and Social Science,14,1989,research-article
Health Problems,The Annals of the American Academy of Political and Social Science,6,1946,research-article
The Emerging Philadelphia African American Class Structure,The Annals of the American Academy of Political and Social Science,24,2000,research-article
Three-Block Fathers: Spatial Perceptions and Kin-Work in Low-Income African American Neighborhoods,Social Problems,21,2004,research-article
Review Article,Africa: Journal of the International African Institute,2,1967,book-review
Review Article,The Annals of the American Academy of Political and Social Science,2,1951,book-review
Positive Health for American Childhood,The Annals of the American Academy of Political and Social Science,7,1921,research-article
"The Study of Interactions between Agriculture and the Nonfarm Economy: Local, Regional and National",Journal of Farm Economics,34,1962,research-article
Leadership in Education,The Annals of the American Academy of Political and Social Science,3,1949,research-article
"Measuring Changes in Occupation and Income: Some Problems with a Cohort of Mexican-Americans, Negroes, and Anglos",The Pacific Sociological Review,17,1976,research-article
Review Article,Social Service Review,9,2003,book-review
"""House"" to ""Goddess of the House"": Gender, Class, and Silk in 19th-Century Mount Lebanon",International Journal of Middle East Studies,24,1996,research-article
Hope for the Future,Journal of Feminist Studies in Religion,5,2012,research-article
Health and Social Services in Public Schools: Historical Perspectives,The Future of Children,13,1992,research-article
Family and Social Pathology in the Ghetto,Science,7,1968,research-article
A Walk through Chinatown,Pennsylvania Legacies,2,2012,research-article
Review Article,Economic Geography,2,1995,book-review
Changes in Black Family Structure: Implications for Welfare Dependency,The American Economic Review,6,1983,research-article
Review Article,International Journal of Middle East Studies,2,1997,book-review
Rational Theories of Participation: An Exercise in Definitions,The Journal of Conflict Resolution,24,1976,research-article
Teen-Age Culture in Contemporary Britain and Europe,The Annals of the American Academy of Political and Social Science,11,1961,research-article
Youth at Risk; Society at Risk,The Elementary School Journal,10,1991,research-article
Educational Training for Foreign Trade,Proceedings of the Academy of Political Science in the City of New York,5,1921,research-article
Review Article,The Americas,3,1989,book-review
Mothers and Sons: Feminist Parenting and the Conundrums of Raising Males,Journal of Feminist Studies in Religion,13,2011,research-article
Politics of the Kola Trade. Some Processes of Tribal Community Formation among Migrants in West African Towns,Africa: Journal of the International African Institute,19,1966,research-article
"Relative Economic Development of the Upper East Tennessee Valley, 1850-1950",Economic Development and Cultural Change,17,1957,research-article
History of the Employment of Women in the American Cotton Mills: II,Journal of Political Economy,13,1908,research-article
Meeting the Challenge of the Future: The Place of a Caring Ethic in Educational Administration,American Journal of Education,43,1992,research-article
Concerns about School-Linked Services: Institution-Based versus Community-Based Models,The Future of Children,11,1992,research-article
Political Socialization in Elementary Schools,The Elementary School Journal,14,1987,research-article
The Methods of the Behavioral Scientist as Tools of Learning,Peabody Journal of Education,8,1963,research-article
"Introduction. Understanding African Land-Holding: Power, Wealth, and Meaning",Africa: Journal of the International African Institute,19,1992,research-article
Which Family?: Problems in the Reconstruction of the History of the Family as an Economic and Cultural Unit,The Journal of African History,9,1983,research-article
Gender and Religiousness: Can Socialization Explanations Be Saved?,American Journal of Sociology,25,2002,research-article
Indigenous Virtue and Foreign Vice: Alternative Perspectives on Colonial Education,Comparative Education Review,14,1981,research-article
Social Adjustment of the Feeble-Minded,The Annals of the American Academy of Political and Social Science,11,1930,research-article
Review Article,Journal of Criminal Law and Criminology (1931-1951),2,1948,book-review
Women in the Middle East and North Africa and Universal Suffrage,The Annals of the American Academy of Political and Social Science,10,1968,research-article
A Prison Trade School. Students and Training,Journal of Criminal Law and Criminology (1931-1951),13,1945,research-article
The Deviant Mother and Child: The Development of Adoption as an Instrument of Social Control,Journal of Law and Society,15,1993,research-article
Corporate Groups and Secret Societies in the Early Neolithic,Current Anthropology,2,2012,brief-report
Book Review,Education and Culture,3,2010,book-review
Husbands' Involvement in Abortion in Vietnam,Studies in Family Planning,14,1998,research-article
The Normal Family,The Annals of the American Academy of Political and Social Science,15,1918,research-article
Where the Rubber Meets the Road: The Role of Libraries and Librarians in Bringing Equitable Access to Marginalized Communities,"The Library Quarterly: Information, Community, Policy",7,2015,research-article
Review Article,"Children, Youth and Environments",3,2014,book-review
"Before the Gold Fleets: Trade and Relations between Chile and Australia, 1830-1848",Journal of Latin American Studies,24,1974,research-article
"Islam, Feminism, and Islamic Feminism: Between Inadequacy and Inevitability",Journal of Feminist Studies in Religion,22,2013,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1959,book-review
Earnings over the Early Work Career among Males in the Middle Class: Has Race Declined in Its Significance?,Sociological Perspectives,13,2000,research-article
"Educational, Cultural, and Recreational Services",The Annals of the American Academy of Political and Social Science,10,1945,research-article
"Dance and the ""Women's War""",Dance Research Journal,4,1981,research-article
Interrupting the Immoral Panic Around Child Abuse and Professional Touch,International Review of Qualitative Research,20,2013,research-article
Review Article,Social Service Review,7,2013,book-review
Photographing the Places of Citizenship: The 1922 Crow Industrial Survey,Native American and Indigenous Studies,30,2015,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1978,book-review
Review Article,Journal of Farm Economics,3,1951,book-review
Mining in Colonial Ghana: Extractive Capitalism and Its Social Benefits in Akyem Abuakwa under Nana Ofori Atta I,Africa Today,34,2016,research-article
Sociological Notes,The Annals of the American Academy of Political and Social Science,12,1900,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1938,book-review
Volume Information,The American Economic Review,6,1998,misc
"""A Landmark for Sun Valley"": Wat Thai of Los Angeles and Thai American Suburban Culture in 1980s San Fernando Valley",Journal of American Ethnic History,32,2015,research-article
Abstracts of Some Recent Papers,Africa: Journal of the International African Institute,6,1946,misc
Review Article,The Geographical Journal,2,1969,book-review
"Family, Marriage and Divorce in a Hausa Community: A Sociological Model",Africa: Journal of the International African Institute,20,1994,research-article
Research in a Black Community: Four Years in Review,The School Review,14,1973,research-article
Masters and Slaves,The Review of Politics,3,1947,book-review
"She Lives Dangerously: Intimate Ethics, Grammatical Personhood, and HIV/AIDS in Islamic Northern Nigeria",Africa Today,20,2015,research-article
Ethics for an International Health Profession,Science,5,1966,research-article
Education and Social Progress in the Philippines,The Annals of the American Academy of Political and Social Science,14,1907,research-article
Chain Store Distribution vs. Independent Wholesaling,Journal of Marketing,12,1949,research-article
1994-1995 Special Interest Group Annual Directory,Educational Researcher,4,1994,misc
Review Article,Agricultural History,27,2012,book-review
The Education and Professional Activities of Women,The Annals of the American Academy of Political and Social Science,7,1905,research-article
The Civic Institute Relocated:,The Good Society,15,2013,research-article
Performing Grief through Teacher Activism and Curriculum,Transformations: The Journal of Inclusive Scholarship and Pedagogy,17,2016,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1991,book-review
Review Article,Journal for the Scientific Study of Religion,2,1981,book-review
Review Article,American Indian Quarterly,3,1985,book-review
The Societal Context of Home Visiting and Related Services for Families in Poverty,The Future of Children,14,1993,research-article
Mind the Gap: The Commodification of Corporate Social Responsibility,Symbolic Interaction,25,2005,research-article
Consulting Youth about Residential Care Environments in Scotland,"Children, Youth and Environments",26,2006,research-article
Beyond Hammurabi: A Public Service Definition of Ethics Failure,Journal of Public Administration Research and Theory: J-PART,16,1996,research-article
Female Criminality in Omaha,Journal of Criminal Law and Criminology (1931-1951),6,1937,research-article
Body Size of Contemporary Groups of One-Year-Old Infants Studied in Different Parts of the World,Child Development,50,1970,research-article
County Administration of School Affairs in Its Relation to the State Department,The Annals of the American Academy of Political and Social Science,13,1913,research-article
Some Problems of Communication in Rural Community Development,Economic Development and Cultural Change,18,1957,research-article
The Changing Family in a Changing World: America First?,Peabody Journal of Education,19,1984,research-article
"<span class=""small-caps"">Intelligence Testing at Whittier School, 1890-1920</span>",Pacific Historical Review,36,2007,research-article
Community Integration and Policies among Elites in Two Border Cities: Los dos Laredo,Journal of Interamerican Studies and World Affairs,24,1976,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1989,book-review
Social Capital and Education: Implications for Student and School                     Performance,Education and Culture,25,2011,research-article
Review Article,African Studies Review,3,2003,book-review
Toward a General Theory of Education,Comparative Education Review,18,1986,research-article
"Shopping as Symbolic Interaction: Race, Class, and Gender in the Toy Store",Symbolic Interaction,14,2005,research-article
"Re-Entry Women: A Selective Review of the Educational Process, Career Choice, and Interest Measurement",Review of Educational Research,54,1977,research-article
Transactions in Architectural Design,Critical Inquiry,15,1974,research-article
Hunter-Gatherer Populations and Archaeological Inference,World Archaeology,10,1972,research-article
Educational Progress in Mississippi,The Annals of the American Academy of Political and Social Science,6,1903,research-article
Review Article,Africa: Journal of the International African Institute,2,1978,book-review
"Children and Adolescents Growing Up in Poverty: Comparative Perspectives from India and Brazil-A Report from the World Social Forum 2004, India","Children, Youth and Environments",18,2004,research-article
From Longhouse to Loghouse: Household Structure among the Senecas in 1900,American Indian Quarterly,10,1991,research-article
The Decontextualization of Moral Education,American Journal of Education,7,2003,review-article
Reviews of Books,The American Historical Review,2,2003,book-review
Notes,The School Review,6,1904,misc
Blurring the Boundaries: A Case Study of Private Sector Involvement in Philadelphia Public Schools,American Journal of Education,32,2007,research-article
The Rural Negro Community,The Annals of the American Academy of Political and Social Science,9,1912,research-article
Back Matter,The Canadian Journal of Economics and Political Science / Revue canadienne d'Economique et de Science politique,14,1942,misc
Cultural Orientation in Comparative Education,Comparative Education Review,6,1963,research-article
Front Matter,Africa: Journal of the International African Institute,8,1955,misc
Social Capital Production in a Virtual P3 Community,Journal of Consumer Research,18,2008,research-article
Voluntary Agencies and Foundations in International Aid,The Annals of the American Academy of Political and Social Science,12,1960,research-article
Reticent Memories,The Review of Politics,3,1996,book-review
Gypsy Travellers and Education: Changing Needs and Changing Perceptions,British Journal of Educational Studies,18,2004,research-article
Review Article,International Journal of Middle East Studies,2,1993,book-review
"<em>Gendered Paradoxes: Educating Jordanian Women in Nation, Faith, and Progress</em> Fida J. Adely",Journal of Middle East Women's Studies,4,2014,book-review
Review Article,The Geographical Journal,2,1937,book-review
One School Board's Response to Community Demands,Theory Into Practice,3,1969,research-article
"Women, Work, and Ideology in the Islamic Republic",International Journal of Middle East Studies,23,1988,research-article
"Scales of Law: Rethinking Climate Change, Terrorism, and the Global                     Financial Crisis",Proceedings of the Annual Meeting (American Society of International Law),3,2009,research-article
Culture Patterns of Puerto Rico,The Annals of the American Academy of Political and Social Science,9,1953,research-article
Editor’s Introduction,Schools: Studies in Education,7,2009,research-article
What Do Schools Teach?,Curriculum Inquiry,18,1977,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1965,book-review
Immigration and Intimate Partner Violence: Exploring the Immigrant Paradox,Social Problems,24,2010,research-article
Discussion,American Indian Quarterly,4,1978,research-article
Return to Nepotism: The Collapse of a Nigerian Gerontocracy,International Political Science Review / Revue internationale de science politique,18,1982,research-article
The Youth Service: New Directions for Community Education in Britain,Paedagogica Europaea,14,1975,research-article
"""We Will Make It Our Own Place"": Agriculture and Adaptation at the Grand Ronde Reservation, 1856-1887",American Indian Quarterly,24,1998,research-article
The Relation of a Neighborhood Survey to Social Needs,Proceedings of the Academy of Political Science in the City of New York,5,1912,research-article
<em>Peace Education for Reconstruction and Peacebuilding in Postwar African Societies</em>,African Conflict and Peacebuilding Review,23,2013,research-article
Sociology and Simulation: Statistical and Qualitative Cross‐Validation,American Journal of Sociology,37,2005,research-article
“One of the Finest Grass Countries I Have Met With”: Prince Edward Island's Colonial-Era Cattle Trade,Agricultural History,22,2016,research-article
The Mercurial Nature and Abiding Power of Race: A Transnational Family Story,The American Historical Review,35,2003,research-article
The Decade Since the War: A Résumé,The Annals of the American Academy of Political and Social Science,5,1930,research-article
Some Government Measures to Improve African Agriculture in Swaziland,The Geographical Journal,10,1966,research-article
The Role of Islam in World History,International Journal of Middle East Studies,25,1970,research-article
The Field of Educational Sociology,Review of Educational Research,10,1937,research-article
The Co-operative Movement in Nebraska,Journal of Political Economy,22,1920,research-article
Travel in Asia,The Geographical Journal,3,1959,book-review
Contents,Population (French Edition),4,1971,misc
The American Negro,Science,5,1929,research-article
"""Zina"" and the Moral Regulation of Pakistani Women",Feminist Review,26,2003,research-article
"Traditional Agricultural Knowledge: Past Performance, Future Prospects, and Institutional Implications",American Journal of Agricultural Economics,5,1984,research-article
Political Action for Science?,BioScience,2,1982,misc
'Her Name Is Kamundage': Rethinking Women and Property among the Haya of Tanzania,Africa: Journal of the International African Institute,19,2000,research-article
"The Emergence of Capitalist Relations in South Asante Cocoa-Farming, c. 1916-33",The Journal of African History,21,1987,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1958,book-review
Childbearing and Childrearing: Feminists and Reform,Virginia Law Review,38,1987,research-article
Review Article,Agricultural History,3,2016,book-review
Review Article,Southern Economic Journal,2,1994,book-review
Units of Social Organization,Science,2,1974,book-review
"Philanthropy, Charities and Social Problems",The Annals of the American Academy of Political and Social Science,5,1901,research-article
Living Conditions in Japan,The Annals of the American Academy of Political and Social Science,7,1925,research-article
Review Article,Asian Folklore Studies,2,1986,book-review
The Role of Operations Research in Population Planning,Operations Research,13,1970,research-article
Homelessness: A Historical Perspective on Modern Legislation,Michigan Law Review,36,1990,research-article
Peruvian Prehistory,Science,1,1975,book-review
Some Probable Social Consequences of the Out-Working of Well-Endowed Married Women,The Annals of the American Academy of Political and Social Science,12,1929,research-article
Review Article,British Educational Research Journal,3,2001,book-review
Testing the Promise of the Churches: Income Inequality in the Opportunity to Learn Civic Skills in Christian Congregations,Journal for the Scientific Study of Religion,11,2002,research-article
Review Article,The Journal of Modern History,3,2009,book-review
Watering the Young Stakeholder Participation Tree,"Children, Youth and Environments",8,2005,research-article
Russia Meets the Japanese,The Russian Review,9,1943,research-article
Local Residents and Married Women as Teachers,Review of Educational Research,8,1934,research-article
A City Transformed: Designing 'Defensible Space',Grey Room,4,2002,research-article
Domestic Violence and the Jewish Community: The Literature Expands,Nashim: A Journal of Jewish Women's Studies & Gender Issues,4,2010,research-article
Review Article,Social Service Review,4,2002,book-review
"""Every Place Has a Ghetto..."": The Significance of Whites' Social and Residential Segregation",Symbolic Interaction,24,2007,review-article
A Theory of Middle Class Juvenile Delinquency,"The Journal of Criminal Law, Criminology, and Police Science",6,1960,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1953,book-review
Introducing Social Stratification and Inequality: An Active Learning Technique,Teaching Sociology,11,1999,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,2001,book-review
Women Stay on the Farm No More: Changing Patterns of Rural-Urban Migration in Sub-Saharan Africa,The Journal of Modern African Studies,6,1989,research-article
Financing the Production and Distribution of Motion Pictures,The Annals of the American Academy of Political and Social Science,4,1926,research-article
Leaving Dobrzechów: Immigration from a Galician Village,Polish American Studies,14,2013,research-article
Implementing Programs in Moral Education,Theory Into Practice,6,1977,research-article
"Audrey Isabel Richards, 1899-1984: An Appreciation",Africa: Journal of the International African Institute,6,1985,news
Service Learning as Civic Participation,Theory Into Practice,6,1997,research-article
"Technical Aid: Volunteer Group Enables Scientists, Engineers To Help Underdeveloped Nations",Science,2,1964,news
Poverty and Childhood,Oxford Review of Education,20,1975,research-article
Review Article,The Russian Review,3,1983,book-review
Integrated Literacy in Mali,Comparative Education Review,18,1989,research-article
Economic Analyses of the Spacing of Births,The American Economic Review,5,1983,research-article
New Guinea Models in the African Savannah,Africa: Journal of the International African Institute,16,1978,research-article
Review Article,The Annals of the American Academy of Political and Social Science,2,1950,book-review
Review Article,Buildings & Landscapes: Journal of the Vernacular Architecture Forum,3,2011,book-review
